iter	Logloss
0	0.6486847548
1	0.6294785794
2	0.6005094468
3	0.5775735879
4	0.5598724042
5	0.5435470767
6	0.5352009596
7	0.5260655775
8	0.5173886469
9	0.5082076243
10	0.5024076795
11	0.4977889314
12	0.4933234589
13	0.4877573322
14	0.4856926005
15	0.4805786082
16	0.4797730324
17	0.4766381399
18	0.4756995052
19	0.4723811589
20	0.470264756
21	0.4669262931
22	0.4640849352
23	0.4631011355
24	0.4617430039
25	0.4605860858
26	0.4595379402
27	0.4578042254
28	0.4561432673
29	0.4557274673
30	0.4555216678
31	0.4544673261
32	0.4538281459
33	0.4537503351
34	0.4525171467
35	0.4521637147
36	0.4504782796
37	0.4497737777
38	0.4472187814
39	0.4456980614
40	0.4456976191
41	0.4454901075
42	0.4446407503
43	0.4446338122
44	0.4437391477
45	0.4431045641
46	0.4430843185
47	0.442935919
48	0.442896707
49	0.4426476234
50	0.4425975454
51	0.4425089828
52	0.441442783
53	0.4414427819
54	0.4409015942
55	0.4398832014
56	0.4397964653
57	0.4391362276
58	0.4379800221
59	0.4373584693
60	0.4373513733
61	0.4370559694
62	0.436584209
63	0.4359257355
64	0.4354846514
65	0.4353012972
66	0.4349926965
67	0.4346224095
68	0.434338769
69	0.4334033307
70	0.4331321805
71	0.4326811034
72	0.4295074314
73	0.427686048
74	0.4273092353
75	0.4271502889
76	0.4262778459
77	0.4259872038
78	0.4250852806
79	0.4250721918
80	0.4234280477
81	0.4226861459
82	0.4221878229
83	0.4212561232
84	0.420963998
85	0.4199268762
86	0.419466563
87	0.4177565682
88	0.4173153915
89	0.414149446
90	0.4136801199
91	0.4115618425
92	0.4108670817
93	0.4088453955
94	0.4082433736
95	0.4053905689
96	0.4039458892
97	0.4022922142
98	0.4019453217
99	0.401743577
100	0.3993444299
101	0.3987204805
102	0.3971012202
103	0.3954682113
104	0.3936489248
105	0.3926027472
106	0.3920075452
107	0.3916866504
108	0.3915602412
109	0.3912004383
110	0.3905543491
111	0.3897876558
112	0.3889680919
113	0.3887904384
114	0.3869473472
115	0.3858501226
116	0.3854627125
117	0.3847918527
118	0.3837065457
119	0.3831343822
120	0.3822648957
121	0.3805786892
122	0.3797278299
123	0.3788473407
124	0.3784354424
125	0.3761773978
126	0.3748754255
127	0.3744580891
128	0.3741768389
129	0.3740344196
130	0.3737878604
131	0.3732548549
132	0.3732334766
133	0.3715894799
134	0.3709951942
135	0.3705299572
136	0.3693763869
137	0.3692907564
138	0.3676449687
139	0.3675698078
140	0.366038034
141	0.3656011789
142	0.3653458514
143	0.365197495
144	0.3648321052
145	0.3647967131
146	0.3643702894
147	0.3636355927
148	0.3626087181
149	0.3625816706
150	0.3618286734
151	0.3609247819
152	0.3601413982
153	0.3599756564
154	0.3596622522
155	0.3570275401
156	0.3569902444
157	0.3565522325
158	0.3562851942
159	0.3552279105
160	0.3547941983
161	0.3545579047
162	0.3534658593
163	0.3531862748
164	0.3523744547
165	0.3515937001
166	0.3513688084
167	0.3505124716
168	0.3493476544
169	0.3487565522
170	0.3482459198
171	0.3474705828
172	0.3460622983
173	0.3457718067
174	0.3453376173
175	0.3447674057
176	0.3440468955
177	0.3433980272
178	0.3423662731
179	0.342082185
180	0.3412832807
181	0.3405395564
182	0.340093072
183	0.3397482753
184	0.3377768891
185	0.3372469857
186	0.3348382874
187	0.3333823786
188	0.3331808071
189	0.3325748797
190	0.3316605598
191	0.3315989426
192	0.331023119
193	0.3309007913
194	0.3299401954
195	0.3286157636
196	0.3280640838
197	0.3272803431
198	0.3272378526
199	0.3264469694
200	0.3254682202
201	0.3253954692
202	0.3250419055
203	0.3249831201
204	0.3248824622
205	0.3246119516
206	0.3238416409
207	0.3232056036
208	0.3227683312
209	0.3214058161
210	0.3208645243
211	0.320271818
212	0.319781093
213	0.3188805154
214	0.3183669962
215	0.3169423482
216	0.3166367225
217	0.3160854233
218	0.3156284984
219	0.3154367645
220	0.3148474322
221	0.3141394764
222	0.3136508308
223	0.3130350511
224	0.3126684727
225	0.3121608108
226	0.3117717968
227	0.3111867984
228	0.3107683255
229	0.3106449741
230	0.3103348241
231	0.3087499112
232	0.3084596497
233	0.3082774021
234	0.3076150004
235	0.3065771969
236	0.3058927647
237	0.3052838333
238	0.3045636098
239	0.3040024872
240	0.3035460733
241	0.3025781264
242	0.3021662866
243	0.3017063937
244	0.301089982
245	0.2996306761
246	0.2994014632
247	0.2986989402
248	0.2980273199
249	0.2973896858
250	0.2968050674
251	0.296383015
252	0.2961150542
253	0.2952647549
254	0.2946756463
255	0.2940616536
256	0.2938003188
257	0.2932403729
258	0.2925055282
259	0.2923635709
260	0.2910976904
261	0.2908150259
262	0.2902307786
263	0.2899508562
264	0.2889442326
265	0.2885034566
266	0.2878351457
267	0.2872586015
268	0.2868252217
269	0.2865329432
270	0.2858275001
271	0.2850626666
272	0.2850338914
273	0.284781644
274	0.2842462937
275	0.2837115099
276	0.2831416793
277	0.2817086405
278	0.2814745679
279	0.2813055298
280	0.2809568347
281	0.2808538748
282	0.280432082
283	0.2799985236
284	0.2795396975
285	0.2792112359
286	0.2786670662
287	0.2784867215
288	0.2779010021
289	0.2776227412
290	0.276983846
291	0.2767058684
292	0.2762887508
293	0.2760465187
294	0.275324686
295	0.2748174709
296	0.2737087456
297	0.273515538
298	0.2728153468
299	0.2717803868
300	0.2711758254
301	0.2710294866
302	0.2706593631
303	0.2702296216
304	0.2701121198
305	0.2690739214
306	0.2685582768
307	0.2679999932
308	0.2676958493
309	0.2671424591
310	0.2670423687
311	0.2668720802
312	0.2667815274
313	0.2665733947
314	0.2661512214
315	0.2656161293
316	0.2651692507
317	0.2645209863
318	0.2640531782
319	0.2638006983
320	0.2633182454
321	0.263066983
322	0.2624883351
323	0.2621147315
324	0.2618856863
325	0.2614770897
326	0.2609388711
327	0.2601064873
328	0.2598053253
329	0.2596931533
330	0.2593184516
331	0.2590717773
332	0.2588415403
333	0.2586055001
334	0.258141773
335	0.2572565612
336	0.2571741697
337	0.2569701414
338	0.2566797306
339	0.2564184115
340	0.2558844118
341	0.2553963957
342	0.2548860149
343	0.2547045494
344	0.2544024666
345	0.2540478371
346	0.2536146287
347	0.2534685751
348	0.2533030007
349	0.2529710341
350	0.2525677862
351	0.2520556208
352	0.2516689836
353	0.2511684931
354	0.2509990292
355	0.2506024072
356	0.2502245059
357	0.2499631039
358	0.2497718825
359	0.2490617187
360	0.248992742
361	0.2485282123
362	0.2480726636
363	0.247904915
364	0.2475315763
365	0.2470038152
366	0.2469074271
367	0.2465868512
368	0.2464033518
369	0.2462992006
370	0.2454606487
371	0.2452483919
372	0.2451156903
373	0.2446102959
374	0.243618208
375	0.2431918681
376	0.2430890246
377	0.2426703344
378	0.2424758239
379	0.2421727837
380	0.2416731551
381	0.2413461028
382	0.2411835416
383	0.2409285733
384	0.2407287556
385	0.2405091825
386	0.2403233153
387	0.240123313
388	0.2399992299
389	0.2396090507
390	0.239454167
391	0.2390779188
392	0.2388222004
393	0.2387749497
394	0.2382270033
395	0.2378104828
396	0.2375408078
397	0.2372805865
398	0.2368978405
399	0.2363144976
400	0.2361040139
401	0.2353650263
402	0.2351863179
403	0.2349044691
404	0.2346835414
405	0.2342895655
406	0.2342534407
407	0.2336635299
408	0.2335780286
409	0.2332488837
410	0.2331274125
411	0.232736846
412	0.2326330752
413	0.2321331527
414	0.2320108281
415	0.2316896402
416	0.2312450234
417	0.2310486099
418	0.2309596344
419	0.2305690609
420	0.2303024226
421	0.2296822786
422	0.2292694202
423	0.2290489916
424	0.2289116164
425	0.2285865567
426	0.2282038308
427	0.2274863605
428	0.227129597
429	0.2268402517
430	0.2265607451
431	0.2261912873
432	0.2253803103
433	0.2251186818
434	0.2249751643
435	0.2247915777
436	0.2241990637
437	0.2239845076
438	0.2236241531
439	0.2232118811
440	0.2227885016
441	0.2225790186
442	0.2223509764
443	0.2220702983
444	0.221598908
445	0.2213217808
446	0.2208837383
447	0.2203982846
448	0.2201200187
449	0.2198880742
450	0.2198606442
451	0.2196706948
452	0.2189648487
453	0.2187352216
454	0.2186873305
455	0.2186701827
456	0.218513225
457	0.2183631022
458	0.2181644632
459	0.2177080045
460	0.2175244924
461	0.2172913713
462	0.2169969695
463	0.216799664
464	0.2165597081
465	0.2162570532
466	0.2160572376
467	0.2158339645
468	0.2157812459
469	0.215475385
470	0.2151642671
471	0.2147906254
472	0.2145447099
473	0.2143263903
474	0.2140975493
475	0.2140881486
476	0.2137093506
477	0.2134632693
478	0.2131191677
479	0.212863569
480	0.2127145654
481	0.2124014008
482	0.2121962344
483	0.2121700929
484	0.2119292396
485	0.2117023424
486	0.211491861
487	0.2114918453
488	0.211301955
489	0.2110109904
490	0.2107935428
491	0.2105514068
492	0.2103365024
493	0.2101690819
494	0.2099153099
495	0.2098892327
496	0.2094306886
497	0.208994815
498	0.2086458955
499	0.2083762736
500	0.2082716168
501	0.2080259839
502	0.2078656531
503	0.207651694
504	0.207362237
505	0.2070711755
506	0.2068041165
507	0.2066973727
508	0.20651321
509	0.206280897
510	0.206162691
511	0.2059888992
512	0.2058397196
513	0.2057002016
514	0.2054121991
515	0.2053616068
516	0.2050085113
517	0.2045513122
518	0.2045019591
519	0.2043651017
520	0.2041504055
521	0.2037458458
522	0.2034647305
523	0.2031282673
524	0.2030331099
525	0.2024296114
526	0.2022520774
527	0.2018836084
528	0.2018046851
529	0.201553983
530	0.2013323895
531	0.2011510938
532	0.2007845688
533	0.2005406113
534	0.2004051907
535	0.2002944022
536	0.1996904571
537	0.1996154909
538	0.1993055178
539	0.1990817728
540	0.1988908087
541	0.1986195894
542	0.1985208336
543	0.1981476694
544	0.1979913265
545	0.1979071121
546	0.1978220104
547	0.1973064264
548	0.1970313822
549	0.1967991319
550	0.1967519125
551	0.1965821224
552	0.1963668862
553	0.1962635242
554	0.1962049433
555	0.1959745628
556	0.1959366955
557	0.1958786923
558	0.1956975447
559	0.1953195393
560	0.1953000579
561	0.1951180544
562	0.1948004066
563	0.1947131454
564	0.194552386
565	0.1943835431
566	0.1943423133
567	0.1942590769
568	0.1941184543
569	0.1941047691
570	0.1940079
571	0.1937991321
572	0.193507539
573	0.1932627538
574	0.1929568353
575	0.1928935929
576	0.1926743073
577	0.1924479641
578	0.1921585417
579	0.1920649833
580	0.1917378587
581	0.1913769762
582	0.1910985529
583	0.1909128311
584	0.1906977022
585	0.1906278203
586	0.1905227907
587	0.1904246457
588	0.1903122571
589	0.190300707
590	0.1902674213
591	0.1898750201
592	0.1897459532
593	0.1895271574
594	0.1891764412
595	0.1889257985
596	0.1887011112
597	0.1884460057
598	0.1881775717
599	0.1880931488
600	0.1878541079
601	0.1877492636
602	0.1876280647
603	0.1874917264
604	0.1874292729
605	0.1872018043
606	0.1868749318
607	0.1868332022
608	0.1866157803
609	0.1862184141
610	0.1861089257
611	0.1858918538
612	0.1855128453
613	0.1853617917
614	0.185145238
615	0.1849195908
616	0.1846711922
617	0.1844966198
618	0.1841136307
619	0.1840265585
620	0.1839471401
621	0.1839161139
622	0.1837440871
623	0.1834311985
624	0.1831532112
625	0.1831060443
626	0.1830059593
627	0.1827763222
628	0.1826963338
629	0.1824600774
630	0.1821660097
631	0.181710206
632	0.1813771603
633	0.1811478246
634	0.1810746518
635	0.1808899128
636	0.1807334182
637	0.1805604274
638	0.180452267
639	0.1802760031
640	0.1800610071
641	0.1799061463
642	0.1796276924
643	0.179300061
644	0.1792749644
645	0.1790982088
646	0.1786424152
647	0.1785018095
648	0.1782807684
649	0.1781596158
650	0.1779117572
651	0.1776794918
652	0.1775560091
653	0.177281787
654	0.1770488803
655	0.1768190971
656	0.1765122507
657	0.1763357787
658	0.1761989832
659	0.176102668
660	0.175870202
661	0.175553569
662	0.1753957334
663	0.1753150653
664	0.1752056154
665	0.1749440843
666	0.1747440011
667	0.1744428493
668	0.1740590393
669	0.1739514241
670	0.1738219237
671	0.1737340217
672	0.1735515166
673	0.1734802544
674	0.1733568483
675	0.173222758
676	0.1731964457
677	0.1730913949
678	0.1727971485
679	0.1725492312
680	0.1722403851
681	0.1718574266
682	0.1717634051
683	0.1716008338
684	0.1713007254
685	0.1712340694
686	0.1711521982
687	0.1709904218
688	0.1707575827
689	0.1706966997
690	0.1706487064
691	0.1706429426
692	0.1705420186
693	0.1703530023
694	0.1700582274
695	0.1699499918
696	0.1697648666
697	0.1695886564
698	0.1693698369
699	0.1691257185
700	0.1690285555
701	0.1689339214
702	0.1686949068
703	0.1685639348
704	0.1685214153
705	0.168466564
706	0.1682987024
707	0.1681223703
708	0.167937268
709	0.1677937115
710	0.1676288532
711	0.1674097922
712	0.1672553761
713	0.1670822806
714	0.1666999331
715	0.1665498228
716	0.1665078499
717	0.1662696973
718	0.1662279958
719	0.1661267612
720	0.1658987788
721	0.1656133317
722	0.1654174343
723	0.1652701607
724	0.165013739
725	0.1647366527
726	0.1645651036
727	0.1644852993
728	0.1643233222
729	0.1641905599
730	0.1641869271
731	0.1641148169
732	0.1639407701
733	0.1637264645
734	0.1635049159
735	0.163378936
736	0.1632290469
737	0.1631878151
738	0.1630689778
739	0.1629021192
740	0.1628231805
741	0.1627938675
742	0.1626975281
743	0.1625953721
744	0.1623833989
745	0.1621946572
746	0.1619295247
747	0.1616571202
748	0.1615324197
749	0.1614168605
750	0.1612526049
751	0.1608892112
752	0.1607481178
753	0.1605562887
754	0.1604575993
755	0.1604177871
756	0.1601802458
757	0.160096756
758	0.1599858379
759	0.1599083577
760	0.1598677278
761	0.15968352
762	0.1596090628
763	0.1595864927
764	0.159511902
765	0.1593981117
766	0.1591539785
767	0.1589533829
768	0.1587824748
769	0.1586223967
770	0.1585311254
771	0.1583603183
772	0.1582701484
773	0.1582318199
774	0.1581251203
775	0.1577878616
776	0.1576141176
777	0.1574658277
778	0.1573279637
779	0.1571547038
780	0.1570476335
781	0.156814983
782	0.1566646904
783	0.1562844506
784	0.1561492224
785	0.1560404006
786	0.1559171764
787	0.1558028396
788	0.1555735854
789	0.1554894982
790	0.1554350642
791	0.1553392396
792	0.155038364
793	0.1549637255
794	0.1548691353
795	0.1547800779
796	0.1546981647
797	0.1545576335
798	0.1544643464
799	0.154308529
800	0.1542512801
801	0.1541937401
802	0.1540674717
803	0.1540175868
